Time (s),Depth (m),Pitch (deg)
93.60,-17.2591,-5.8823
93.70,-17.2726,-5.7190
93.80,-17.2859,-5.5547
93.90,-17.2991,-5.3921
94.00,-17.3121,-5.2339
94.10,-17.3250,-5.0828
94.20,-17.3378,-4.9407
94.30,-17.3505,-4.8096
94.40,-17.3630,-4.6916
94.50,-17.3754,-4.5885
94.60,-17.3877,-4.5023
94.70,-17.3999,-4.4344
94.80,-17.4120,-4.3852
94.90,-17.4241,-4.3550
95.00,-17.4361,-4.3440
95.10,-17.4480,-4.3527
95.20,-17.4599,-4.3811
95.30,-17.4718,-4.4289
95.40,-17.4837,-4.4945
95.50,-17.4955,-4.5767
95.60,-17.5075,-4.6741
95.70,-17.5194,-4.7851
95.80,-17.5314,-4.9085
95.90,-17.5435,-5.0421
96.00,-17.5556,-5.1837
96.10,-17.5679,-5.3307
96.20,-17.5802,-5.4810
96.30,-17.5926,-5.6321
96.40,-17.6052,-5.7816
96.50,-17.6178,-5.9275
96.60,-17.6306,-6.0674
96.70,-17.6434,-6.1993
96.80,-17.6564,-6.3209
96.90,-17.6695,-6.4301
97.00,-17.6827,-6.5251
97.10,-17.6961,-6.6047
97.20,-17.7095,-6.6681
97.30,-17.7230,-6.7144
97.40,-17.7366,-6.7426
97.50,-17.7502,-6.7519
97.60,-17.7639,-6.7419
97.70,-17.7777,-6.7134
97.80,-17.7914,-6.6672
97.90,-17.8052,-6.6043
98.00,-17.8190,-6.5256
98.10,-17.8327,-6.4320
98.20,-17.8464,-6.3249
98.30,-17.8601,-6.2063
98.40,-17.8736,-6.0786
98.50,-17.8872,-5.9438
98.60,-17.9006,-5.8041
98.70,-17.9139,-5.6617
98.80,-17.9271,-5.5189
98.90,-17.9402,-5.3778
99.00,-17.9532,-5.2407
99.10,-17.9661,-5.1098
99.20,-17.9789,-4.9874
99.30,-17.9915,-4.8756
99.40,-18.0040,-4.7760
99.50,-18.0165,-4.6898
99.60,-18.0288,-4.6178
99.70,-18.0410,-4.5613
99.80,-18.0532,-4.5211
99.90,-18.0653,-4.4983
100.00,-18.0774,-4.4929
100.10,-18.0894,-4.5040
100.20,-18.1013,-4.5309
100.30,-18.1133,-4.5729
100.40,-18.1252,-4.6292
100.50,-18.1371,-4.6991
100.60,-18.1490,-4.7807
100.70,-18.1610,-4.8720
100.80,-18.1730,-4.9709
100.90,-18.1850,-5.0751
101.00,-18.1970,-5.1827
101.10,-18.2091,-5.2914
101.20,-18.2212,-5.3990
101.30,-18.2334,-5.5033
101.40,-18.2457,-5.6018
101.50,-18.2580,-5.6923
101.60,-18.2703,-5.7725
101.70,-18.2827,-5.8403
101.80,-18.2951,-5.8943
101.90,-18.3076,-5.9333
102.00,-18.3201,-5.9564
102.10,-18.3327,-5.9622
102.20,-18.3452,-5.9499
102.30,-18.3578,-5.9184
102.40,-18.3703,-5.8684
102.50,-18.3828,-5.8004
102.60,-18.3953,-5.7153
102.70,-18.4077,-5.6137
102.80,-18.4201,-5.4963
102.90,-18.4324,-5.3643
103.00,-18.4446,-5.2196
103.10,-18.4567,-5.0642
103.20,-18.4686,-4.9002
103.30,-18.4805,-4.7298
103.40,-18.4922,-4.5550
103.50,-18.5038,-4.3779
103.60,-18.5152,-4.2009
103.70,-18.5265,-4.0260
103.80,-18.5376,-3.8556
103.90,-18.5485,-3.6918
104.00,-18.5593,-3.5370
104.10,-18.5699,-3.3928
104.20,-18.5804,-3.2605
104.30,-18.5907,-3.1414
104.40,-18.6009,-3.0365
104.50,-18.6110,-2.9471
104.60,-18.6209,-2.8743
104.70,-18.6308,-2.8186
104.80,-18.6405,-2.7796
104.90,-18.6501,-2.7571
105.00,-18.6597,-2.7505
105.10,-18.6691,-2.7596
105.20,-18.6786,-2.7840
105.30,-18.6879,-2.8226
105.40,-18.6973,-2.8738
105.50,-18.7066,-2.9359
105.60,-18.7158,-3.0075
105.70,-18.7251,-3.0868
105.80,-18.7344,-3.1722
105.90,-18.7436,-3.2618
106.00,-18.7529,-3.3536
106.10,-18.7622,-3.4455
106.20,-18.7715,-3.5355
106.30,-18.7808,-3.6214
106.40,-18.7901,-3.7013
106.50,-18.7994,-3.7735
106.60,-18.8087,-3.8367
106.70,-18.8181,-3.8893
106.80,-18.8275,-3.9299
106.90,-18.8368,-3.9572
107.00,-18.8462,-3.9697
107.10,-18.8556,-3.9672
107.20,-18.8650,-3.9493
107.30,-18.8743,-3.9161
107.40,-18.8836,-3.8674
107.50,-18.8929,-3.8031
107.60,-18.9022,-3.7230
107.70,-18.9114,-3.6281
107.80,-18.9205,-3.5196
107.90,-18.9296,-3.3990
108.00,-18.9386,-3.2676
108.10,-18.9475,-3.1267
108.20,-18.9563,-2.9778
108.30,-18.9650,-2.8225
108.40,-18.9736,-2.6629
108.50,-18.9821,-2.5010
108.60,-18.9905,-2.3388
108.70,-18.9988,-2.1783
108.80,-19.0069,-2.0216
108.90,-19.0149,-1.8705
109.00,-19.0228,-1.7266
109.10,-19.0305,-1.5915
109.20,-19.0381,-1.4666
109.30,-19.0456,-1.3533
109.40,-19.0530,-1.2533
109.50,-19.0603,-1.1678
109.60,-19.0674,-1.0971
109.70,-19.0745,-1.0415
109.80,-19.0814,-1.0010
109.90,-19.0882,-0.9758
110.00,-19.0950,-0.9661
110.10,-19.1017,-0.9719
110.20,-19.1083,-0.9923
110.30,-19.1148,-1.0262
110.40,-19.1213,-1.0722
110.50,-19.1277,-1.1291
110.60,-19.1340,-1.1957
110.70,-19.1404,-1.2707
110.80,-19.1466,-1.3525
110.90,-19.1529,-1.4391
111.00,-19.1590,-1.5286
111.10,-19.1652,-1.6189
111.20,-19.1713,-1.7082
111.30,-19.1774,-1.7945
111.40,-19.1835,-1.8760
111.50,-19.1895,-1.9511
111.60,-19.1955,-2.0181
111.70,-19.2014,-2.0754
111.80,-19.2074,-2.1215
111.90,-19.2132,-2.1547
112.00,-19.2191,-2.1737
112.10,-19.2249,-2.1781
112.20,-19.2306,-2.1676
112.30,-19.2363,-2.1418
112.40,-19.2419,-2.1003
112.50,-19.2475,-2.0428
112.60,-19.2530,-1.9690
112.70,-19.2585,-1.8800
112.80,-19.2639,-1.7768
112.90,-19.2692,-1.6607
113.00,-19.2744,-1.5326
113.10,-19.2796,-1.3939
113.20,-19.2846,-1.2457
113.30,-19.2896,-1.0898
113.40,-19.2945,-0.9282
113.50,-19.2992,-0.7630
113.60,-19.3039,-0.5963
113.70,-19.3085,-0.4300
113.80,-19.3130,-0.2663
113.90,-19.3173,-0.1072
114.00,-19.3215,0.0455
114.10,-19.3256,0.1897
114.20,-19.3295,0.3237
114.30,-19.3332,0.4454
114.40,-19.3368,0.5529
114.50,-19.3401,0.6448
114.60,-19.3433,0.7202
114.70,-19.3462,0.7784
114.80,-19.3489,0.8188
114.90,-19.3513,0.8408
115.00,-19.3534,0.8437
115.10,-19.3552,0.8271
115.20,-19.3567,0.7919
115.30,-19.3579,0.7396
115.40,-19.3588,0.6715
115.50,-19.3594,0.5890
115.60,-19.3597,0.4933
115.70,-19.3596,0.3868
115.80,-19.3593,0.2718
115.90,-19.3588,0.1508
116.00,-19.3580,0.0264
116.10,-19.3570,-0.0991
116.20,-19.3559,-0.2229
116.30,-19.3545,-0.3426
116.40,-19.3531,-0.4553
116.50,-19.3515,-0.5586
116.60,-19.3499,-0.6496
116.70,-19.3482,-0.7261
116.80,-19.3465,-0.7867
116.90,-19.3447,-0.8297
117.00,-19.3430,-0.8538
117.10,-19.3412,-0.8574
117.20,-19.3393,-0.8395
117.30,-19.3375,-0.8001
117.40,-19.3357,-0.7397
117.50,-19.3338,-0.6587
117.60,-19.3319,-0.5574
117.70,-19.3299,-0.4366
117.80,-19.3279,-0.2977
117.90,-19.3258,-0.1427
118.00,-19.3236,0.0264
118.10,-19.3213,0.2074
118.20,-19.3188,0.3984
118.30,-19.3162,0.5970
118.40,-19.3134,0.8006
118.50,-19.3105,1.0064
118.60,-19.3073,1.2117
118.70,-19.3040,1.4140
118.80,-19.3004,1.6105
118.90,-19.2966,1.7992
119.00,-19.2926,1.9779
119.10,-19.2884,2.1444
119.20,-19.2840,2.2966
119.30,-19.2793,2.4326
119.40,-19.2744,2.5512
119.50,-19.2693,2.6515
119.60,-19.2640,2.7329
119.70,-19.2586,2.7943
119.80,-19.2529,2.8352
119.90,-19.2471,2.8556
120.00,-19.2412,2.8566
120.10,-19.2351,2.8389
120.20,-19.2290,2.8035
120.30,-19.2228,2.7513
120.40,-19.2165,2.6835
120.50,-19.2101,2.6019
120.60,-19.2038,2.5085
120.70,-19.1974,2.4051
120.80,-19.1910,2.2935
120.90,-19.1847,2.1756
121.00,-19.1784,2.0535
121.10,-19.1721,1.9296
121.20,-19.1658,1.8062
121.30,-19.1597,1.6858
121.40,-19.1535,1.5706
121.50,-19.1475,1.4631
121.60,-19.1415,1.3651
121.70,-19.1355,1.2783
121.80,-19.1297,1.2044
121.90,-19.1238,1.1449
122.00,-19.1180,1.1016
122.10,-19.1123,1.0759
122.20,-19.1066,1.0684
122.30,-19.1009,1.0792
122.40,-19.0952,1.1084
122.50,-19.0895,1.1563
122.60,-19.0838,1.2228
122.70,-19.0780,1.3080
122.80,-19.0722,1.4106
122.90,-19.0664,1.5292
123.00,-19.0604,1.6623
123.10,-19.0544,1.8086
123.20,-19.0482,1.9664
123.30,-19.0419,2.1342
123.40,-19.0355,2.3098
123.50,-19.0290,2.4910
123.60,-19.0223,2.6753
123.70,-19.0154,2.8606
123.80,-19.0083,3.0444
123.90,-19.0011,3.2248
124.00,-18.9937,3.3996
124.10,-18.9861,3.5670
124.20,-18.9783,3.7250
124.30,-18.9704,3.8716
124.40,-18.9622,4.0050
124.50,-18.9539,4.1236
124.60,-18.9454,4.2266
124.70,-18.9367,4.3132
124.80,-18.9279,4.3826
124.90,-18.9190,4.4339
125.00,-18.9100,4.4664
125.10,-18.9008,4.4800
125.20,-18.8916,4.4753
125.30,-18.8822,4.4531
125.40,-18.8729,4.4139
125.50,-18.8635,4.3585
125.60,-18.8540,4.2874
125.70,-18.8446,4.2020
125.80,-18.8352,4.1038
125.90,-18.8258,3.9945
126.00,-18.8165,3.8757
126.10,-18.8072,3.7489
126.20,-18.7980,3.6158
126.30,-18.7889,3.4782
126.40,-18.7799,3.3381
126.50,-18.7710,3.1976
126.60,-18.7622,3.0587
126.70,-18.7535,2.9236
126.80,-18.7449,2.7942
126.90,-18.7364,2.6726
127.00,-18.7280,2.5601
127.10,-18.7197,2.4582
127.20,-18.7116,2.3683
127.30,-18.7035,2.2919
127.40,-18.6955,2.2303
127.50,-18.6876,2.1849
127.60,-18.6798,2.1560
127.70,-18.6721,2.1435
127.80,-18.6644,2.1476
127.90,-18.6567,2.1682
128.00,-18.6490,2.2053
128.10,-18.6414,2.2590
128.20,-18.6338,2.3284
128.30,-18.6261,2.4120
128.40,-18.6185,2.5084
128.50,-18.6108,2.6163
128.60,-18.6030,2.7341
128.70,-18.5952,2.8605
128.80,-18.5873,2.9937
128.90,-18.5793,3.1317
129.00,-18.5713,3.2724
129.10,-18.5631,3.4137
129.20,-18.5548,3.5536
129.30,-18.5465,3.6899
129.40,-18.5380,3.8206
129.50,-18.5294,3.9441
129.60,-18.5207,4.0588
129.70,-18.5119,4.1630
129.80,-18.5030,4.2552
129.90,-18.4939,4.3337
130.00,-18.4848,4.3970
130.10,-18.4756,4.4445
130.20,-18.4663,4.4759
130.30,-18.4570,4.4909
130.40,-18.4476,4.4892
130.50,-18.4381,4.4707
130.60,-18.4286,4.4349
130.70,-18.4191,4.3824
130.80,-18.4096,4.3144
130.90,-18.4001,4.2321
131.00,-18.3906,4.1366
131.10,-18.3811,4.0292
131.20,-18.3717,3.9111
131.30,-18.3624,3.7838
131.40,-18.3531,3.6492
131.50,-18.3439,3.5094
131.60,-18.3348,3.3666
131.70,-18.3257,3.2227
131.80,-18.3168,3.0798
131.90,-18.3080,2.9400
132.00,-18.2993,2.8052
132.10,-18.2907,2.6772
132.20,-18.2822,2.5578
132.30,-18.2738,2.4490
132.40,-18.2655,2.3524
132.50,-18.2573,2.2700
132.60,-18.2492,2.2027
132.70,-18.2412,2.1511
132.80,-18.2333,2.1159
132.90,-18.2254,2.0975
133.00,-18.2176,2.0966
133.10,-18.2098,2.1137
133.20,-18.2020,2.1488
133.30,-18.1943,2.2007
133.40,-18.1866,2.2685
133.50,-18.1789,2.3512
133.60,-18.1711,2.4476
133.70,-18.1633,2.5568
133.80,-18.1555,2.6774
133.90,-18.1476,2.8075
134.00,-18.1397,2.9450
134.10,-18.1317,3.0879
134.20,-18.1236,3.2339
134.30,-18.1153,3.3811
134.40,-18.1070,3.5274
134.50,-18.0986,3.6708
134.60,-18.0901,3.8092
134.70,-18.0814,3.9408
134.80,-18.0727,4.0636
134.90,-18.0638,4.1755
135.00,-18.0549,4.2747
135.10,-18.0458,4.3599
135.20,-18.0366,4.4301
135.30,-18.0273,4.4846
135.40,-18.0180,4.5226
135.50,-18.0086,4.5434
135.60,-17.9991,4.5460
135.70,-17.9895,4.5303
135.80,-17.9800,4.4968
135.90,-17.9704,4.4465
136.00,-17.9607,4.3802
136.10,-17.9511,4.2985
136.20,-17.9415,4.2024
136.30,-17.9320,4.0927
136.40,-17.9225,3.9714
136.50,-17.9130,3.8403
136.60,-17.9036,3.7014
136.70,-17.8943,3.5566
136.80,-17.8850,3.4081
136.90,-17.8759,3.2576
137.00,-17.8669,3.1073
137.10,-17.8579,2.9594
137.20,-17.8491,2.8159
137.30,-17.8404,2.6791
137.40,-17.8318,2.5510
137.50,-17.8233,2.4337
137.60,-17.8149,2.3291
137.70,-17.8067,2.2383
137.80,-17.7985,2.1624
137.90,-17.7904,2.1024
138.00,-17.7824,2.0596
138.10,-17.7744,2.0349
138.20,-17.7666,2.0292
138.30,-17.7587,2.0422
138.40,-17.7509,2.0733
138.50,-17.7432,2.1220
138.60,-17.7354,2.1875
138.70,-17.7277,2.2693
138.80,-17.7199,2.3667
138.90,-17.7121,2.4783
139.00,-17.7042,2.6021
139.10,-17.6963,2.7362
139.20,-17.6884,2.8785
139.30,-17.6803,3.0271
139.40,-17.6722,3.1800
139.50,-17.6640,3.3351
139.60,-17.6557,3.4902
139.70,-17.6473,3.6430
139.80,-17.6387,3.7914
139.90,-17.6301,3.9330
140.00,-17.6213,4.0657
140.10,-17.6124,4.1873
140.20,-17.6034,4.2964
140.30,-17.5943,4.3917
140.40,-17.5851,4.4720
140.50,-17.5758,4.5360
140.60,-17.5664,4.5825
140.70,-17.5569,4.6102
140.80,-17.5473,4.6188
140.90,-17.5377,4.6087
141.00,-17.5281,4.5802
141.10,-17.5184,4.5339
141.20,-17.5087,4.4700
141.30,-17.4990,4.3889
141.40,-17.4893,4.2916
141.50,-17.4796,4.1797
141.60,-17.4700,4.0551
141.70,-17.4604,3.9196
141.80,-17.4509,3.7752
141.90,-17.4415,3.6237
142.00,-17.4321,3.4669
142.10,-17.4229,3.3071
142.20,-17.4137,3.1468
142.30,-17.4047,2.9881
142.40,-17.3958,2.8336
142.50,-17.3870,2.6855
142.60,-17.3783,2.5462
142.70,-17.3697,2.4176
142.80,-17.3613,2.3012
142.90,-17.3529,2.1987
143.00,-17.3447,2.1115
143.10,-17.3365,2.0413
143.20,-17.3285,1.9895
143.30,-17.3205,1.9572
143.40,-17.3126,1.9444
143.50,-17.3048,1.9509
143.60,-17.2969,1.9765
143.70,-17.2892,2.0211
143.80,-17.2814,2.0845
143.90,-17.2737,2.1663
144.00,-17.2659,2.2650
144.10,-17.2581,2.3789
144.20,-17.2503,2.5061
144.30,-17.2424,2.6448
144.40,-17.2345,2.7932
144.50,-17.2265,2.9493
144.60,-17.2184,3.1111
144.70,-17.2102,3.2762
144.80,-17.2019,3.4419
144.90,-17.1935,3.6060
145.00,-17.1849,3.7660
145.10,-17.1763,3.9194
145.20,-17.1675,4.0639
145.30,-17.1586,4.1978
145.40,-17.1496,4.3195
145.50,-17.1405,4.4271
145.60,-17.1313,4.5190
145.70,-17.1219,4.5935
145.80,-17.1125,4.6490
145.90,-17.1029,4.6850
146.00,-17.0933,4.7016
146.10,-17.0837,4.6986
146.20,-17.0739,4.6760
146.30,-17.0642,4.6337
146.40,-17.0544,4.5717
146.50,-17.0446,4.4909
146.60,-17.0348,4.3928
146.70,-17.0250,4.2790
146.80,-17.0153,4.1513
146.90,-17.0056,4.0113
147.00,-16.9960,3.8605
147.10,-16.9865,3.7009
147.20,-16.9770,3.5349
147.30,-16.9677,3.3650
147.40,-16.9584,3.1937
147.50,-16.9493,3.0236
147.60,-16.9403,2.8570
147.70,-16.9314,2.6965
147.80,-16.9226,2.5442
147.90,-16.9140,2.4022
148.00,-16.9055,2.2723
148.10,-16.8971,2.1567
148.20,-16.8888,2.0574
148.30,-16.8806,1.9762
148.40,-16.8725,1.9145
148.50,-16.8646,1.8725
148.60,-16.8566,1.8506
148.70,-16.8488,1.8492
148.80,-16.8410,1.8685
148.90,-16.8332,1.9090
149.00,-16.8255,1.9705
149.10,-16.8178,2.0515
149.20,-16.8100,2.1505
149.30,-16.8023,2.2660
149.40,-16.7945,2.3964
149.50,-16.7867,2.5401
149.60,-16.7788,2.6954
149.70,-16.7708,2.8601
149.80,-16.7628,3.0315
149.90,-16.7546,3.2070
150.00,-16.7464,3.3841
150.10,-16.7380,3.5602
150.20,-16.7295,3.7328
150.30,-16.7209,3.8993
150.40,-16.7121,4.0577
150.50,-16.7033,4.2058
150.60,-16.6943,4.3414
150.70,-16.6851,4.4624
150.80,-16.6759,4.5666
150.90,-16.6665,4.6523
151.00,-16.6570,4.7188
151.10,-16.6475,4.7653
151.20,-16.6378,4.7915
151.30,-16.6281,4.7967
151.40,-16.6183,4.7803
151.50,-16.6084,4.7420
151.60,-16.5986,4.6826
151.70,-16.5887,4.6033
151.80,-16.5788,4.5055
151.90,-16.5689,4.3905
152.00,-16.5591,4.2596
152.10,-16.5493,4.1143
152.20,-16.5396,3.9564
152.30,-16.5300,3.7884
152.40,-16.5204,3.6129
152.50,-16.5110,3.4325
152.60,-16.5016,3.2497
152.70,-16.4924,3.0672
152.80,-16.4833,2.8873
152.90,-16.4744,2.7127
153.00,-16.4655,2.5456
153.10,-16.4568,2.3887
153.20,-16.4483,2.2442
153.30,-16.4398,2.1146
153.40,-16.4315,2.0023
153.50,-16.4233,1.9086
153.60,-16.4152,1.8345
153.70,-16.4072,1.7807
153.80,-16.3993,1.7484
153.90,-16.3914,1.7382
154.00,-16.3836,1.7512
154.10,-16.3759,1.7873
154.20,-16.3682,1.8454
154.30,-16.3605,1.9241
154.40,-16.3529,2.0225
154.50,-16.3452,2.1391
154.60,-16.3374,2.2730
154.70,-16.3297,2.4224
154.80,-16.3218,2.5850
154.90,-16.3139,2.7582
155.00,-16.3059,2.9393
155.10,-16.2979,3.1258
155.20,-16.2897,3.3151
155.30,-16.2813,3.5044
155.40,-16.2729,3.6912
155.50,-16.2643,3.8729
155.60,-16.2556,4.0467
155.70,-16.2468,4.2101
155.80,-16.2378,4.3604
155.90,-16.2287,4.4950
156.00,-16.2194,4.6118
156.10,-16.2100,4.7094
156.20,-16.2005,4.7865
156.30,-16.1908,4.8418
156.40,-16.1811,4.8739
156.50,-16.1713,4.8820
156.60,-16.1614,4.8665
156.70,-16.1515,4.8282
156.80,-16.1415,4.7675
156.90,-16.1315,4.6851
157.00,-16.1216,4.5819
157.10,-16.1116,4.4596
157.20,-16.1017,4.3205
157.30,-16.0919,4.1667
157.40,-16.0821,4.0004
157.50,-16.0724,3.8238
157.60,-16.0628,3.6394
157.70,-16.0533,3.4503
157.80,-16.0439,3.2592
157.90,-16.0347,3.0690
158.00,-16.0256,2.8826
158.10,-16.0166,2.7028
158.20,-16.0078,2.5319
158.30,-15.9991,2.3725
158.40,-15.9906,2.2270
158.50,-15.9822,2.0979
158.60,-15.9739,1.9872
158.70,-15.9657,1.8962
158.80,-15.9576,1.8260
158.90,-15.9497,1.7775
159.00,-15.9418,1.7519
159.10,-15.9339,1.7499
159.20,-15.9262,1.7713
159.30,-15.9184,1.8152
159.40,-15.9107,1.8808
159.50,-15.9030,1.9672
159.60,-15.8953,2.0736
159.70,-15.8876,2.1983
159.80,-15.8798,2.3391
159.90,-15.8720,2.4935
160.00,-15.8641,2.6593
160.10,-15.8561,2.8340
160.20,-15.8481,3.0153
160.30,-15.8399,3.2002
160.40,-15.8316,3.3860
160.50,-15.8232,3.5698
160.60,-15.8147,3.7489
160.70,-15.8060,3.9204
160.80,-15.7972,4.0821
160.90,-15.7883,4.2318
161.00,-15.7792,4.3674
161.10,-15.7700,4.4868
161.20,-15.7607,4.5878
161.30,-15.7512,4.6693
161.40,-15.7417,4.7304
161.50,-15.7321,4.7706
161.60,-15.7223,4.7893
161.70,-15.7125,4.7859
161.80,-15.7027,4.7601
161.90,-15.6928,4.7130
162.00,-15.6829,4.6456
162.10,-15.6730,4.5589
162.20,-15.6631,4.4539
162.30,-15.6532,4.3318
162.40,-15.6434,4.1946
162.50,-15.6336,4.0447
162.60,-15.6239,3.8842
162.70,-15.6143,3.7156
162.80,-15.6048,3.5411
162.90,-15.5954,3.3631
163.00,-15.5861,3.1844
163.10,-15.5769,3.0077
163.20,-15.5679,2.8355
163.30,-15.5590,2.6706
163.40,-15.5502,2.5154
163.50,-15.5416,2.3721
163.60,-15.5330,2.2424
163.70,-15.5246,2.1284
163.80,-15.5163,2.0321
163.90,-15.5081,1.9553
164.00,-15.5000,1.8988
164.10,-15.4920,1.8630
164.20,-15.4841,1.8484
164.30,-15.4762,1.8554
164.40,-15.4684,1.8844
164.50,-15.4606,1.9350
164.60,-15.4528,2.0057
164.70,-15.4450,2.0952
164.80,-15.4372,2.2021
164.90,-15.4294,2.3250
165.00,-15.4215,2.4622
165.10,-15.4136,2.6116
165.20,-15.4056,2.7705
165.30,-15.3976,2.9368
165.40,-15.3894,3.1080
165.50,-15.3811,3.2816
165.60,-15.3728,3.4553
165.70,-15.3643,3.6266
165.80,-15.3557,3.7929
165.90,-15.3469,3.9518
166.00,-15.3381,4.1008
166.10,-15.3291,4.2375
166.20,-15.3200,4.3600
166.30,-15.3108,4.4671
166.40,-15.3014,4.5572
166.50,-15.2920,4.6291
166.60,-15.2824,4.6813
166.70,-15.2728,4.7127
166.80,-15.2631,4.7233
166.90,-15.2533,4.7136
167.00,-15.2435,4.6835
167.10,-15.2337,4.6336
167.20,-15.2238,4.5639
167.30,-15.2140,4.4754
167.40,-15.2041,4.3698
167.50,-15.1943,4.2490
167.60,-15.1845,4.1146
167.70,-15.1748,3.9685
167.80,-15.1652,3.8124
167.90,-15.1556,3.6487
168.00,-15.1461,3.4799
168.10,-15.1368,3.3086
168.20,-15.1275,3.1373
168.30,-15.1184,2.9686
168.40,-15.1094,2.8048
168.50,-15.1005,2.6483
168.60,-15.0917,2.5012
168.70,-15.0831,2.3656
168.80,-15.0746,2.2437
168.90,-15.0661,2.1377
169.00,-15.0578,2.0491
169.10,-15.0496,1.9790
169.20,-15.0415,1.9279
169.30,-15.0335,1.8968
169.40,-15.0255,1.8863
169.50,-15.0176,1.8971
169.60,-15.0098,1.9292
169.70,-15.0019,1.9814
169.80,-14.9941,2.0528
169.90,-14.9863,2.1423
170.00,-14.9785,2.2487
170.10,-14.9706,2.3711
170.20,-14.9627,2.5074
170.30,-14.9547,2.6553
170.40,-14.9467,2.8125
170.50,-14.9386,2.9766
170.60,-14.9304,3.1453
170.70,-14.9221,3.3162
170.80,-14.9137,3.4868
170.90,-14.9052,3.6547
171.00,-14.8965,3.8174
171.10,-14.8878,3.9724
171.20,-14.8789,4.1172
171.30,-14.8699,4.2497
171.40,-14.8608,4.3682
171.50,-14.8515,4.4714
171.60,-14.8422,4.5577
171.70,-14.8327,4.6257
171.80,-14.8232,4.6740
171.90,-14.8135,4.7018
172.00,-14.8038,4.7093
172.10,-14.7940,4.6966
172.20,-14.7842,4.6640
172.30,-14.7744,4.6117
172.40,-14.7645,4.5398
172.50,-14.7547,4.4496
172.60,-14.7448,4.3427
172.70,-14.7350,4.2210
172.80,-14.7253,4.0861
172.90,-14.7156,3.9397
173.00,-14.7059,3.7838
173.10,-14.6964,3.6206
173.20,-14.6869,3.4527
173.30,-14.6776,3.2825
173.40,-14.6684,3.1126
173.50,-14.6592,2.9456
173.60,-14.6502,2.7837
173.70,-14.6414,2.6294
173.80,-14.6326,2.4846
173.90,-14.6240,2.3515
174.00,-14.6155,2.2323
174.10,-14.6071,2.1291
174.20,-14.5988,2.0436
174.30,-14.5906,1.9765
174.40,-14.5825,1.9285
174.50,-14.5744,1.9004
174.60,-14.5665,1.8930
174.70,-14.5585,1.9068
174.80,-14.5507,1.9417
174.90,-14.5428,1.9966
175.00,-14.5350,2.0704
175.10,-14.5272,2.1620
175.20,-14.5193,2.2704
175.30,-14.5114,2.3943
175.40,-14.5035,2.5319
175.50,-14.4955,2.6807
175.60,-14.4875,2.8385
175.70,-14.4794,3.0028
175.80,-14.4712,3.1713
175.90,-14.4628,3.3416
176.00,-14.4544,3.5113
176.10,-14.4459,3.6780
176.20,-14.4372,3.8391
176.30,-14.4284,3.9923
176.40,-14.4195,4.1350
176.50,-14.4105,4.2651
176.60,-14.4013,4.3810
176.70,-14.3921,4.4814
176.80,-14.3827,4.5649
176.90,-14.3732,4.6299
177.00,-14.3637,4.6752
177.10,-14.3540,4.7000
177.20,-14.3443,4.7046
177.30,-14.3345,4.6890
177.40,-14.3247,4.6536
177.50,-14.3149,4.5987
177.60,-14.3050,4.5244
177.70,-14.2952,4.4320
177.80,-14.2853,4.3232
177.90,-14.2755,4.1998
178.00,-14.2658,4.0635
178.10,-14.2561,3.9161
178.20,-14.2464,3.7595
178.30,-14.2369,3.5960
178.40,-14.2275,3.4281
178.50,-14.2181,3.2583
178.60,-14.2089,3.0891
178.70,-14.1998,2.9231
178.80,-14.1908,2.7626
178.90,-14.1820,2.6099
179.00,-14.1732,2.4671
179.10,-14.1646,2.3362
179.20,-14.1561,2.2195
179.30,-14.1477,2.1189
179.40,-14.1394,2.0361
179.50,-14.1312,1.9719
179.60,-14.1231,1.9269
179.70,-14.1151,1.9018
179.80,-14.1071,1.8974
179.90,-14.0992,1.9141
180.00,-14.0914,1.9518
180.10,-14.0835,2.0095
180.20,-14.0757,2.0858
180.30,-14.0678,2.1797
180.40,-14.0600,2.2899
180.50,-14.0521,2.4154
180.60,-14.0441,2.5540
180.70,-14.0362,2.7036
180.80,-14.0281,2.8618
180.90,-14.0199,3.0261
181.00,-14.0117,3.1944
181.10,-14.0034,3.3642
181.20,-13.9949,3.5331
181.30,-13.9864,3.6988
181.40,-13.9777,3.8588
181.50,-13.9689,4.0107
181.60,-13.9600,4.1520
181.70,-13.9509,4.2805
181.80,-13.9418,4.3947
181.90,-13.9325,4.4932
182.00,-13.9231,4.5748
182.10,-13.9136,4.6380
182.20,-13.9040,4.6817
182.30,-13.8944,4.7047
182.40,-13.8847,4.7072
182.50,-13.8749,4.6896
182.60,-13.8651,4.6523
182.70,-13.8552,4.5956
182.80,-13.8453,4.5200
182.90,-13.8355,4.4261
183.00,-13.8257,4.3157
183.10,-13.8159,4.1906
183.20,-13.8061,4.0528
183.30,-13.7964,3.9042
183.40,-13.7868,3.7466
183.50,-13.7773,3.5822
183.60,-13.7678,3.4134
183.70,-13.7585,3.2427
183.80,-13.7493,3.0727
183.90,-13.7402,2.9060
184.00,-13.7312,2.7450
184.10,-13.7223,2.5922
184.20,-13.7136,2.4494
184.30,-13.7050,2.3187
184.40,-13.6965,2.2020
184.50,-13.6881,2.1013
184.60,-13.6798,2.0185
184.70,-13.6716,1.9550
184.80,-13.6635,1.9110
184.90,-13.6555,1.8871
185.00,-13.6476,1.8836
185.10,-13.6396,1.9009
185.20,-13.6318,1.9392
